org_code,school_name,school_address,school_phone_number,principal_name,principal_email,school_type,enrollment,grades_served,student_teacher_ratio,race_african_american_count,race_african_american_pct,race_american_indian_alaskan_native_count,race_american_indian_alaskan_native_pct,race_asian_count,race_asian_pct,race_hispanic_latino_count,race_hispanic_latino_pct,race_multi_race_non_hispanic_count,race_multi_race_non_hispanic_pct,race_native_hawaiian_pacific_islander_count,race_native_hawaiian_pacific_islander_pct,race_white_count,race_white_pct,pop_high_needs_count,pop_high_needs_pct,pop_english_learners_count,pop_english_learners_pct,pop_first_language_not_english_count,pop_first_language_not_english_pct,pop_low_income_count,pop_low_income_pct,pop_students_with_disabilities_count,pop_students_with_disabilities_pct
00350302,Adams Elementary School,"165 Webster Street  , East Boston   MA   02128",617-635-8383,Joanna  McKeigue Cruz,jmckeigue2@bostonpublicschools.org,Public,222,PK - 06,7.1 to 1,28,4.5,0,0.0,8,0.9,44,72.5,,,0,0.0,14,19.4,21,100.0,15,100.0,,,15,100.0,7,100.0
00350525,Albert D Holland School of Technology,"60 Washington Street  , Dorchester   MA   02121",617-635-9837,Artis  Street,astreet@bostonpublicschools.org,Public,526,07 - 12,9.8 to 1,28,52.9,0,0.2,8,3.6,44,37.6,,,0,0.0,14,2.7,,,,,,,,,,
00350066,Alighieri Dante Montessori School,"37 Gove Street  , East Boston   MA   02128",617-635-8529,Jessica  Gorham,jgorham@bostonpublicschools.org,Public,100,PK - 06,9.4 to 1,28,3.0,0,0.0,8,5.0,44,58.0,,,0,0.0,14,30.0,9,100.0,7,100.0,,,5,5,1,1
00350541,Another Course To College,"612 Metropolitan Av  , Hyde Park   MA   02136",617-635-8865,Demitri  Curry,dcurry@bostonpublicschools.org,Public,244,09 - 12,11.2 to 1,28,48.0,0,0.0,8,0.4,44,44.3,,,0,0.4,14,3.3,,,,,,,,,,
00350003,Baldwin Early Learning Pilot Academy,"121 Corey Road  , Brighton   MA   02135",617-635-8409,Min-jen  Taylor,mtaylor2@bostonpublicschools.org,Public,151,PK - 01,9.4 to 1,28,10.6,0,0.0,8,23.8,44,37.7,,,0,0.0,14,15.9,27,100.0,13,100.0,,,14,100.0,5,5
00350278,Bates Elementary School,"426 Beech Street  , Roslindale   MA   02131",617-635-8064,Meghan  Harrington,mharrington2@bostonpublicschools.org,Public,292,PK - 06,10.2 to 1,28,21.2,0,0.3,8,2.4,44,29.1,,,0,0.0,14,41.8,25,100.0,10,100.0,,,21,100.0,9,100.0
00350021,Beethoven Elementary School,"5125 Washington Street  , West Roxbury   MA   02132",617-635-8149,Edward  Puliafico,epuliafico@bostonpublicschools.org,Public,275,PK - 02,11.9 to 1,28,26.2,0,0.0,8,1.8,44,40.4,,,0,0.0,14,25.8,51,100.0,23,100.0,,,43,100.0,7,100.0
00350390,Blackstone Elementary School,"380 Shawmut Avenue  , Boston   MA   02118",617-635-8471,Courtney  Sheppeck,csheppeck@bostonpublicschools.org,Public,572,PK - 06,9.7 to 1,28,25.7,0,0.2,8,2.4,44,66.1,,,0,0.0,14,3.7,72,100.0,36,100.0,,,69,100.0,19,100.0
00350548,Boston Adult Tech Academy,"20 Church St  , Back Bay   MA   02116",617-635-1542,Benjamin  Helfat,bhelfat@bostonpublicschools.org,Public,122,11 - 12,10.3 to 1,28,41.8,0,0.8,8,3.3,44,54.1,,,0,0.0,14,0.0,,,,,,,,,,
00350546,Boston Arts Academy,"174 Ipswich Street  , Boston   MA   02215",617-635-6470,Tyrone  Sutton,tsutton@bostonpublicschools.org,Public,490,09 - 12,9.6 to 1,28,32.4,0,0.4,8,2.9,44,44.1,,,0,0.0,14,15.1,,,,,,,,,,
00350755,Boston Collaborative High School,"215 Dorchester St  , South Boston   MA   02127",617-635-8035,Sherri  Neasman,sneasman@bostonpublicschools.org,Public,282,09 - 12,10.2 to 1,28,36.9,0,0.0,8,1.4,44,55.7,,,0,0.4,14,1.8,,,,,,,,,,
00350507,Boston International High School & Newcomers Academy,"100 Maxwell St  , Dorchester   MA   02124",617-635-9373,Thomas  King,tking@bostonpublicschools.org,Public,477,09 - 12,8.8 to 1,28,38.6,0,0.2,8,4.4,44,53.2,,,0,0.0,14,3.1,,,,,,,,,,
00350545,Boston Latin Academy,"205 Townsend Street  , Dorchester   MA   02121",617-635-9957,Gavin  Smith,gsmith8@bostonpublicschools.org,Public,1669,07 - 12,17.9 to 1,28,27.1,0,0.4,8,15.0,44,32.6,,,0,0.2,14,19.4,,,,,,,,,,
00350560,Boston Latin School,"78 Avenue Louis Pasteur  , Boston   MA   02115",617-635-8895,Jason  Gallagher,jgallagher@bostonpublicschools.org,Public,2382,07 - 12,18.7 to 1,28,15.6,0,0.0,8,31.1,44,16.6,,,0,0.1,14,31.0,,,,,,,,,,
00350012,Boston Teachers Union Elementary Pilot School,"25 Walk Hill Street  , Jamaica Plain   MA   02130",617-635-7717,,lclarkemason@bostonpublicschools.org,Public,209,PK - 08,8.6 to 1,28,21.5,0,0.5,8,1.4,44,37.8,,,0,0.5,14,26.8,18,100.0,7,100.0,,,12,100.0,9,100.0
