Program_Type,School Name,Program Grade Levels,Times,Address,School Grade Levels
Early Childhood Center - Based,Blackstone Elementary,K0 - K1,8:25 AM - 3:05 PM,"380 Shawmut Ave South End, MA 02118",K0 - 6
Early Childhood Center - Based,Channing Elementary,K0 - K1,8:30 AM - 3:00 PM,"35 Sunnyside St Hyde Park, MA 02136",K0 - 6
Early Childhood Center - Based,Condon K-8,K0 - K1,8:30 AM - 3:10 PM,"200 D St South Boston, MA 02127",K0 - 8
Early Childhood Center - Based,Conley Elementary,K0 - K1,8:30 AM - 3:10 PM,"450 Poplar St Roslindale, MA 02131",K0 - 6
Early Childhood Center - Based,Grew Elementary,K0 - K1,8:30 AM - 3:00 PM,"40 Gordon Ave Hyde Park, MA 02136",K0 - 6
Early Childhood Center - Based,Harvard/Kent Elementary,K0 - K1,9:30 AM - 4:10 PM,"50 Bunker Hill St Charlestown, MA 02129",K0 - 6
Early Childhood Center - Based,Haynes Early Education Center,K0-K1,7:30 AM- 4:30 PM,"263 Blue Hill Avenue Roxbury, MA 02119",K0-1
Early Childhood Center - Based,Hurley K-8,K0 - K1,8:30 AM - 3:10 PM,"70 Worcester St South End, MA 02118",K0 - 8
Early Childhood Center - Based,"Kennedy, JF Elementary",K0 - K1,8:30 AM - 3:10 PM,"7 Bolster St Jamaica Plain, MA 02130",K1 - 6
Early Childhood Center - Based,"Kennedy, PJ Elementary",K0 - K1,8:30 AM - 3:10 PM,"343 Saratoga St East Boston, MA 02128",K0 - 6
Early Childhood Center - Based,Kenny Elementary,K0 - K1,9:30 AM - 4:10 PM,"19 Oakton Ave Dorchester, MA 02122",K0 - 6
Early Childhood Center - Based,King Elementary,K0 - K1,8:30 AM - 3:10 PM,"77 Lawrence Ave Dorchester, MA 02121",K0 - 6
Early Childhood Center - Based,Lyndon K-8,K0 - K1,9:30 AM - 3:30 PM,"20 Mt Vernon St West Roxbury, MA 02132",K0 - 8
Early Childhood Center - Based,Perry K-8,K0 - K1,9:30 AM - 4:10 PM,"745 E Seventh St South Boston, MA 02127",K1 - 6
Early Childhood Center - Based,Quincy Elementary,K0 - K1,9:30 AM - 4:10 PM,"885 Washington St South End, MA 02111",K0 - 5
Early Childhood Center - Based,Russell Elementary,K0 - K1,8:30 AM - 3:10 PM,"750 Columbia Rd Dorchester, MA 02125",K0 - 5
Early Childhood Center - Based,Shaw Elementary,K0-K1,9:30 AM - 4:10 PM,"429 Norfolk St Dorchester, MA 02124",K0 - 4
Early Childhood Center - Based,Tobin K-8,K0-K1,9:30 AM- 4:10 PM,"40 Smith Street Roxbury, MA 02120",K0 - 8
Early Childhood Center - Based,Trotter Elementary,K0 - K1,7:20 AM - 2:00 PM,"135 Humboldt Ave Dorchester, MA 02121",K0 - 6
Early Childhood Center - Based,Winship Elementary,K0 - K1,9:30 AM - 4:10 PM,"54 Dighton St Brighton, MA 02135",K0 - 6
ABA-Based Classrooms,Adams Elementary,K0 - 6,7:30 AM - 2:10 PM,"165 Webster St. East Boston, MA 02128",K0 - 6
ABA-Based Classrooms,Baldwin ELPA,K0 - K1,7:30am - 4:30pm; 11:30am Wed,"121 Corey Rd Brighton, MA 02135",K0 - 1
ABA-Based Classrooms,Boston Teachers Union K-8 Pilot,K0 - 6,8:30 AM - 3:00 PM,"25 Walk Hill St Jamaica Plain, MA 02130",K0 - 8
ABA-Based Classrooms,Channing Elementary,K0 - 6,8:30 AM - 3:00 PM,"35 Sunnyside St Hyde Park, MA 02136",K0 - 6
ABA-Based Classrooms,Charlestown High,7 - 12,7:30 AM - 1:50 PM,"240 Medford St Charlestown, MA 02129",7 - 12
ABA-Based Classrooms,Chittick Elementary,K0 - 6,8:30 AM - 3:10 PM,"154 Ruskindale Rd Mattapan, MA 02136",K0 - 6
ABA-Based Classrooms,Community Academy of Science and Health,9 - 12,7:30 AM - 1:50 PM,"11 Charles St Dorchester, MA 02122",9 - 12
ABA-Based Classrooms,Condon K-8,K0 - K1,8:30 AM - 3:10 PM,"200 D St South Boston, MA 02127",K0 - 8
ABA-Based Classrooms,Curley K-8,K0 - 8,8:30 AM - 3:10 PM,"40 Pershing Rd Jamaica Plain, MA 02130",K0 - 8
ABA-Based Classrooms,Fenway High,9 - 12,8:45 AM - 3:35 PM,"67 Alleghany Street Fenway, MA 02215",9 - 12
ABA-Based Classrooms,Haley Pilot K-8,K0 - K2,8:30 AM - 2:30 PM,"570 Amer Legion Hwy Roslindale, MA 02131",K0 - 8
ABA-Based Classrooms,Harvard/Kent Elementary,K0 - 1/td>,9:30 AM - 4:10 PM,"50 Bunker Hill St Charlestown, MA 02129",K0 - 6
ABA-Based Classrooms,Higginson Inclusion K0-2 School,K0 - 2,9:30 AM - 4:10 PM,"160 Harrishof Street Roxbury, MA 02119",K0 - 2
ABA-Based Classrooms,Higginson/Lewis K-8,3 - 8,9:30 AM - 4:10 PM,"131 Walnut Ave Roxbury, MA 02119",3 - 8
ABA-Based Classrooms,Holland School of Technology,7 - 12,7:25 AM - 2:35 PM,"60 Washington St Dorchester, MA 02121",7 - 12
