orgcode, school name
"00350302", "Adams Elementary School"
"00350525", "Albert D Holland School of Technology"
"00350066", "Alighieri Dante Montessori School"
"00350541", "Another Course To College"
"00350003", "Baldwin Early Learning Pilot Academy"
"00350278", "Bates Elementary School"
"00350021", "Beethoven Elementary School"
"00350390", "Blackstone Elementary School"
"00350548", "Boston Adult Tech Academy"
"00350546", "Boston Arts Academy"
"00350755", "Boston Collaborative High School"
"00350507", "Boston International High School & Newcomers Academy"
"00350545", "Boston Latin Academy"
"00350560", "Boston Latin School"
"00350012", "Boston Teachers Union Elementary Pilot School"
"00350215", "Bradley Elementary School"
"00350505", "Brighton High School"
"00350036", "Carter School"
"00350360", "Channing Elementary School"
"00350515", "Charlestown High School"
"00350154", "Chittick Elementary School"
"00350298", "Clap Elementary School"
"00350518", "Community Academy"
"00350581", "Community Academy of Science and Health"
"00350146", "Condon K-8 School"
"00350122", "Conley Elementary School"
"00350020", "Curley K-8 School"
"00350074", "Dearborn STEM Academy"
"00350268", "Dever Elementary School"
"00350009", "East Boston Early Education Center"
"00350530", "East Boston High School"
"00350375", "Edison Elementary School"
"00350096", "Eliot K-8 Innovation School"
"00350072", "Ellis Elementary School"
"00350008", "Ellison-Parks Early Education School"
"00350535", "English High School"
"00350088", "Everett Elementary School"
"00350522", "Excel High School"
"00350540", "Fenway High School"
"00350326", "Gardner Pilot Academy"
"00350543", "Greater Egleston High School"
"00350308", "Greenwood Sarah K-8 School"
"00350135", "Grew Elementary School"
"00350062", "Guild Elementary School"
"00350243", "Hale Elementary School"
"00350077", "Haley Pilot School"
"00350200", "Harvard-Kent Elementary School"
"00350010", "Haynes Early Education Center"
"00350266", "Henderson K-12 Inclusion School Lower"
"00350426", "Henderson K-12 Inclusion School Upper"
"00350153", "Hennigan Elementary School"
"00350691", "Hernandez Elementary School"
"00350015", "Higginson Inclusion K0-2 School"
"00350377", "Higginson-Lewis K-8 School"
"00350138", "Holmes Elementary School"
"00350750", "Horace Mann School for the Deaf Hard of Hearing"
"00350182", "Hurley K-8 School"
"00350166", "Kennedy John F Elementary School"
"00350264", "Kennedy Patrick J Elementary School"
"00350328", "Kenny Elementary School"
"00350190", "Kilmer K-8 School"
"00350376", "King Elementary School"
"00350001", "Lee Academy"
"00350183", "Lee K-8 School"
"00350262", "Lyndon K-8 School"
"00350004", "Lyon Elementary School"
"00350655", "Lyon High School"
"00350537", "Madison Park Technical Vocational High School"
"00350184", "Manning Elementary School"
"00350549", "Margarita Muniz Academy"
"00350656", "Mario Umana Academy"
"00350304", "Mason Elementary School"
"00350227", "Mather Elementary School"
"00350016", "Mattahunt Elementary School"
"00350080", "McKay K-8 School"
"00350363", "Melvin H. King South End Academy"
"00350100", "Mendell Elementary School"
"00350378", "Mildred Avenue K-8 School"
"00350237", "Mozart Elementary School"
"00350240", "Murphy K-8 School"
"00350542", "New Mission High School"
"00350575", "O'Bryant School of Math & Science"
"00350141", "O'Donnell Elementary School"
"00350258", "Ohrenberger School"
"00350257", "Orchard Gardens K-8 School"
"00350156", "Otis Elementary School"
"00350231", "Perkins Elementary School"
"00350255", "Perry Elementary School"
"00350286", "Quincy Elementary School"
"00350565", "Quincy Upper School"
"00350116", "Roosevelt K-8 School"
"00350366", "Russell Elementary School"
"00350558", "Ruth Batson Academy"
"00350017", "Sarah Roberts Elementary School"
"00350014", "Shaw-Taylor Elementary School"
"00350690", "Snowden International High School"
"00350657", "TechBoston Academy"
"00350229", "Tobin K-8 School"
"00350370", "Trotter Elementary School"
"00350181", "Tynan Elementary School"
"00350167", "UP Academy Holland"
"00350346", "Warren-Prescott K-8 School"
"00350374", "Winship Elementary School"
"00350180", "Winthrop Elementary School"
"00350380", "Young Achievers Elementary School"
