school,website_link,grades_allowed,school_start_date,school_end_date,programs,special_needs_accommodations,contact_info,address,extracurricular_activities,number_students_enrolled,other_pertinent_info
"Boston Public Schools welcomes you
to explore our schools!
We welcome you to tour our schools and meet school leaders to learn which schools are the
best fit for your child at our school information sessions. Schools are holding a combination
of in-person and virtual information sessions. Below are the dates, times, and contact
information for each school. Visit bostonpublicschools.org/schoolpreview or contact the
school for more information.
Baldwin Early Learning Pilot
Adams Elementary (K0-6) Academy (K0-1) Boston Adult Tech Academy (11-12)
165 Webster St., East Boston 121 Corey Rd., Brighton 20 Church Street, Boston
Joanna McKeigue Cruz, Madelin Pizarro:
617-635-8383 Rosie Matos: 617-635-8409 Contact school for more information.
12/5/2025: 8:00 AM - 9:00 AM, (P) 11/13/2025: 9:00 AM - 10:00 AM, (P) Benjamin Helfat",https://www.bostonpublicschools.org/school/boston-public-schools-welcomes-you-to-explore-our-schools-we-welcome-you-to-tour-our-schools-and-meet-school-leaders-to-learn-which-schools-are-the-best-fit-for-your-child-at-our-school-information-sessions-schools-are-holding-a-combination-of-in-person-and-virtual-information-sessions-below-are-the-dates-times-and-contact-information-for-each-school-visit-bostonpublicschoolsorgschoolpreview-or-contact-the-school-for-more-information-baldwin-early-learning-pilot-adams-elementary-k0-6-academy-k0-1-boston-adult-tech-academy-11-12-165-webster-st-east-boston-121-corey-rd-brighton-20-church-street-boston-joanna-mckeigue-cruz-madelin-pizarro-617-635-8383-rosie-matos-617-635-8409-contact-school-for-more-information-1252025-800-am-900-am-p-11132025-900-am-1000-am-p-benjamin-helfat,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/boston-public-schools-welcomes-you-to-explore-our-schools-we-welcome-you-to-tour-our-schools-and-meet-school-leaders-to-learn-which-schools-are-the-best-fit-for-your-child-at-our-school-information-sessions-schools-are-holding-a-combination-of-in-person-and-virtual-information-sessions-below-are-the-dates-times-and-contact-information-for-each-school-visit-bostonpublicschoolsorgschoolpreview-or-contact-the-school-for-more-information-baldwin-early-learning-pilot-adams-elementary-k0-6-academy-k0-1-boston-adult-tech-academy-11-12-165-webster-st-east-boston-121-corey-rd-brighton-20-church-street-boston-joanna-mckeigue-cruz-madelin-pizarro-617-635-8383-rosie-matos-617-635-8409-contact-school-for-more-information-1252025-800-am-900-am-p-11132025-900-am-1000-am-p-benjamin-helfat
"1/16/2026: 12:00 PM - 1:00 PM, (P) 1/16/2026: 12:00 PM - 1:00 PM, (P) (617) 635-1542
Albert Holland School of Technology Boston Adult Tech Academy - East
(7-12) Bates Elementary (K0*-6) Boston (11-12)
60 Washington St, Dorchester 426 Beech St., Roslindale 1150 Saratoga Street, East Boston
Nia McQueenie: 857-339-3713 Nancy Olivier: 617-635-8064 Contact school for more information.
11/18/2025: 8:00 AM - 11:00 AM, (P) 12/3/2025: 10:00 AM - 11:00 AM, (P) Benjamin Helfat",https://www.bostonpublicschools.org/school/1162026-1200-pm-100-pm-p-1162026-1200-pm-100-pm-p-617-635-1542-albert-holland-school-of-technology-boston-adult-tech-academy-east-7-12-bates-elementary-k0-6-boston-11-12-60-washington-st-dorchester-426-beech-st-roslindale-1150-saratoga-street-east-boston-nia-mcqueenie-857-339-3713-nancy-olivier-617-635-8064-contact-school-for-more-information-11182025-800-am-1100-am-p-1232025-1000-am-1100-am-p-benjamin-helfat,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1162026-1200-pm-100-pm-p-1162026-1200-pm-100-pm-p-617-635-1542-albert-holland-school-of-technology-boston-adult-tech-academy-east-7-12-bates-elementary-k0-6-boston-11-12-60-washington-st-dorchester-426-beech-st-roslindale-1150-saratoga-street-east-boston-nia-mcqueenie-857-339-3713-nancy-olivier-617-635-8064-contact-school-for-more-information-11182025-800-am-1100-am-p-1232025-1000-am-1100-am-p-benjamin-helfat
"1/28/2026: 8:00 AM - 11:00 AM, (P) 1/29/2026: 12:00 PM - 1:00 PM, (P) (617) 635-1542
Dante Alighieri Montessori School
(K0-6) Beethoven Elementary (K0*-2) Boston Arts Academy (9-12)
37 Gove St., East Boston 5125 Washington St., West Roxbury 174 Ipswich Street, Boston
Christina Rodriguez: 617-635-6470
Jessica Gorham Cronin: 616-635-8529 Bianca Pierre: 617-635-8149 x32382
11/21/2025: 3:00 PM - 4:00 PM, (P) 11/10/2025: 9:30 AM - 10:30 AM, (P) 11/7/2025: 10:00 AM - 12:00 PM, (P)",https://www.bostonpublicschools.org/school/1282026-800-am-1100-am-p-1292026-1200-pm-100-pm-p-617-635-1542-dante-alighieri-montessori-school-k0-6-beethoven-elementary-k0-2-boston-arts-academy-9-12-37-gove-st-east-boston-5125-washington-st-west-roxbury-174-ipswich-street-boston-christina-rodriguez-617-635-6470-jessica-gorham-cronin-616-635-8529-bianca-pierre-617-635-8149-x32382-11212025-300-pm-400-pm-p-11102025-930-am-1030-am-p-1172025-1000-am-1200-pm-p,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1282026-800-am-1100-am-p-1292026-1200-pm-100-pm-p-617-635-1542-dante-alighieri-montessori-school-k0-6-beethoven-elementary-k0-2-boston-arts-academy-9-12-37-gove-st-east-boston-5125-washington-st-west-roxbury-174-ipswich-street-boston-christina-rodriguez-617-635-6470-jessica-gorham-cronin-616-635-8529-bianca-pierre-617-635-8149-x32382-11212025-300-pm-400-pm-p-11102025-930-am-1030-am-p-1172025-1000-am-1200-pm-p
"1/14/2026: 8:00 AM - 9:00 AM, (V) 1/12/2026: 9:30 AM - 10:30 AM, (P) 1/9/2026: 10:00 AM - 12:00 PM, (P)
Boston Collaborative High School
Another Course to College (10-12) Blackstone Elementary (K0-6) (9-12)
612 Metropolitan Avenue., Hyde Park 380 Shawmut Ave, South End 215 Dorchester St, South Boston
Jazmine Shorter: 617-635-8865 Felix Caraballo: 857-339-8913 Contact school for more information.
11/19/2025: 4:00 PM - 5:00 PM, (V) 11/19/2025: 10:00 AM - 11:00 AM, (P) Sherri Neasman",https://www.bostonpublicschools.org/school/1142026-800-am-900-am-v-1122026-930-am-1030-am-p-192026-1000-am-1200-pm-p-boston-collaborative-high-school-another-course-to-college-10-12-blackstone-elementary-k0-6-9-12-612-metropolitan-avenue-hyde-park-380-shawmut-ave-south-end-215-dorchester-st-south-boston-jazmine-shorter-617-635-8865-felix-caraballo-857-339-8913-contact-school-for-more-information-11192025-400-pm-500-pm-v-11192025-1000-am-1100-am-p-sherri-neasman,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/1142026-800-am-900-am-v-1122026-930-am-1030-am-p-192026-1000-am-1200-pm-p-boston-collaborative-high-school-another-course-to-college-10-12-blackstone-elementary-k0-6-9-12-612-metropolitan-avenue-hyde-park-380-shawmut-ave-south-end-215-dorchester-st-south-boston-jazmine-shorter-617-635-8865-felix-caraballo-857-339-8913-contact-school-for-more-information-11192025-400-pm-500-pm-v-11192025-1000-am-1100-am-p-sherri-neasman
Boston Public Schools welcomes you,https://www.bostonpublicschools.org/school/boston-public-schools-welcomes-you,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/boston-public-schools-welcomes-you
best fit for your child at our school information sessions. Schools are holding a combination,https://www.bostonpublicschools.org/school/best-fit-for-your-child-at-our-school-information-sessions-schools-are-holding-a-combination,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/best-fit-for-your-child-at-our-school-information-sessions-schools-are-holding-a-combination
Adams Elementary (K0-6) Academy (K0-1) Boston Adult Tech Academy (11-12),https://www.bostonpublicschools.org/school/adams-elementary-k0-6-academy-k0-1-boston-adult-tech-academy-11-12,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/adams-elementary-k0-6-academy-k0-1-boston-adult-tech-academy-11-12
Albert Holland School of Technology Boston Adult Tech Academy - East,https://www.bostonpublicschools.org/school/albert-holland-school-of-technology-boston-adult-tech-academy-east,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/albert-holland-school-of-technology-boston-adult-tech-academy-east
Dante Alighieri Montessori School,https://www.bostonpublicschools.org/school/dante-alighieri-montessori-school,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/dante-alighieri-montessori-school
(K0-6) Beethoven Elementary (K0*-2) Boston Arts Academy (9-12),https://www.bostonpublicschools.org/school/k0-6-beethoven-elementary-k0-2-boston-arts-academy-9-12,,,,,,,,,,Error fetching page: 404 Client Error: Not Found for url: https://www.bostonpublicschools.org/school/k0-6-beethoven-elementary-k0-2-boston-arts-academy-9-12
